buoy,url,name,lat,lon
41001,https://www.ndbc.noaa.gov/data/latest_obs/41001.rss,"EAST HATTERAS - 150 NM East of Cape Hatteras Observations""",34.715,-72.24666667
41002,https://www.ndbc.noaa.gov/data/latest_obs/41002.rss,"SOUTH HATTERAS - 225 NM South of Cape Hatteras Observations""",31.75833333,-74.93666667
41004,https://www.ndbc.noaa.gov/data/latest_obs/41004.rss,"EDISTO - 41 NM Southeast of Charleston, SC Observations""",32.50166667,-79.09833333
41008,https://www.ndbc.noaa.gov/data/latest_obs/41008.rss,"GRAYS REEF - 40 NM Southeast of Savannah, GA Observations""",31.4,-80.86666667
41009,https://www.ndbc.noaa.gov/data/latest_obs/41009.rss,"CANAVERAL 20 NM East of Cape Canaveral, FL Observations""",28.50666667,-80.185
41010,https://www.ndbc.noaa.gov/data/latest_obs/41010.rss,"CANAVERAL EAST - 120NM East of Cape Canaveral Observations""",28.87666667,-78.485
41013,https://www.ndbc.noaa.gov/data/latest_obs/41013.rss,"Frying Pan Shoals, NC Observations""",33.44166667,-77.76333333
41025,https://www.ndbc.noaa.gov/data/latest_obs/41025.rss,"Diamond Shoals, NC Observations""",35.01,-75.455
41043,https://www.ndbc.noaa.gov/data/latest_obs/41043.rss,"NE PUERTO RICO - 170 NM NNE of San Juan, PR Observations""",21.02666667,-64.79333333
41044,https://www.ndbc.noaa.gov/data/latest_obs/41044.rss,"NE ST MARTIN - 330 NM NE St Martin Is Observations""",21.58333333,-58.63
41046,https://www.ndbc.noaa.gov/data/latest_obs/41046.rss,"EAST BAHAMAS - 335 NM East of San Salvador Is,  Bahamas Observations""",23.82166667,-68.38333333
41047,https://www.ndbc.noaa.gov/data/latest_obs/41047.rss,"NE BAHAMAS - 350 NM ENE of Nassau, Bahamas Observations""",27.465,-71.45166667
41048,https://www.ndbc.noaa.gov/data/latest_obs/41048.rss,"WEST BERMUDA - 240 NM West of Bermuda Observations""",31.83166667,-69.57333333
41049,https://www.ndbc.noaa.gov/data/latest_obs/41049.rss,"SOUTH BERMUDA - 300 NM SSE of Bermuda Observations""",27.49,-62.93666667
42001,https://www.ndbc.noaa.gov/data/latest_obs/42001.rss,"MID GULF - 180 nm South of Southwest Pass, LA Observations""",25.92,-89.67333333
42002,https://www.ndbc.noaa.gov/data/latest_obs/42002.rss,"WEST GULF - 207 NM East of Brownsville, TX Observations""",26.055,-93.64666667
42012,https://www.ndbc.noaa.gov/data/latest_obs/42012.rss,"ORANGE BEACH - 44 NM SE of Mobile, AL Observations""",30.06,-87.54833333
42019,https://www.ndbc.noaa.gov/data/latest_obs/42019.rss,"FREEPORT, TX - 60 NM South of Freeport, TX Observations""",27.91,-95.345
42020,https://www.ndbc.noaa.gov/data/latest_obs/42020.rss,"CORPUS CHRISTI, TX - 60NM SSE of Corpus Christi, TX Observations""",26.96833333,-96.69166667
42036,https://www.ndbc.noaa.gov/data/latest_obs/42036.rss,"WEST TAMPA  - 112 NM WNW of Tampa, FL Observations""",28.50166667,-84.50833333
